age,gender,income,spending_score
56,Female,27,23
69,Female,46,89
46,Male,46,99
32,Male,40,30
60,Female,49,17
25,Male,47,62
38,Male,83,84
56,Male,88,89
36,Female,80,86
40,Female,67,13
28,Female,38,59
28,Male,23,19
41,Male,54,49
53,Female,83,12
57,Female,68,61
41,Female,36,19
20,Female,63,76
39,Male,49,9
19,Female,65,71
41,Male,25,28
61,Female,56,78
47,Male,43,95
55,Female,65,52
19,Female,72,83
38,Female,79,16
50,Female,82,69
29,Male,51,99
39,Female,52,12
61,Male,86,25
42,Male,37,52
66,Male,44,85
44,Male,73,53
59,Female,77,23
45,Male,86,16
33,Male,65,57
32,Male,43,39
64,Female,51,53
68,Female,66,42
61,Female,42,58
69,Female,85,39
20,Male,46,14
54,Male,21,95
68,Female,36,5
24,Male,52,35
38,Male,28,87
26,Male,62,93
56,Female,67,75
35,Female,58,18
21,Male,61,76
42,Female,45,9
31,Female,69,74
67,Female,44,58
26,Female,43,17
43,Female,32,7
19,Male,79,46
37,Female,26,13
45,Male,76,40
64,Male,55,42
24,Female,64,9
61,Male,39,50
25,Male,84,27
64,Male,27,66
52,Female,35,5
31,Female,33,29
34,Male,95,37
53,Female,34,38
67,Female,85,83
57,Female,51,8
21,Female,82,65
19,Male,70,86
23,Male,44,17
59,Female,77,71
21,Female,82,89
46,Male,81,45
35,Male,41,4
43,Female,77,36
61,Male,77,70
51,Female,68,31
27,Female,71,19
53,Male,61,61
31,Male,89,54
48,Female,34,39
65,Female,73,91
32,Male,79,74
25,Female,27,90
31,Male,72,19
40,Female,79,39
57,Male,24,67
38,Male,87,45
33,Male,25,13
62,Female,66,92
35,Female,74,58
64,Male,59,20
41,Female,71,92
43,Male,35,72
42,Male,32,61
62,Female,49,39
58,Female,38,1
46,Male,36,3
32,Female,82,77
62,Female,38,92
18,Male,77,62
42,Male,74,63
24,Female,81,25
26,Male,42,56
41,Male,28,33
18,Female,31,38
61,Male,20,6
25,Male,77,58
41,Female,20,44
28,Female,53,45
68,Male,67,32
34,Male,20,45
25,Female,35,61
52,Female,80,47
52,Female,83,21
50,Female,82,80
22,Male,88,85
59,Female,41,75
56,Female,86,36
58,Male,95,99
45,Female,45,19
24,Male,35,20
26,Female,70,57
25,Female,76,18
29,Female,48,47
51,Male,97,49
50,Male,88,14
65,Female,66,15
40,Male,81,31
41,Male,88,1
54,Male,95,54
52,Male,35,3
61,Male,67,16
57,Male,58,87
39,Female,52,57
44,Female,42,75
52,Male,29,12
18,Female,88,74
52,Female,53,96
54,Female,71,16
64,Female,29,72
31,Male,38,76
20,Female,77,24
18,Female,20,28
22,Male,88,8
43,Male,23,92
31,Female,35,36
56,Female,43,90
44,Female,99,8
26,Female,21,58
32,Female,51,60
32,Female,43,50
43,Male,31,28
59,Female,69,92
30,Female,54,41
68,Male,52,64
49,Male,52,27
56,Male,80,63
66,Male,70,17
69,Female,62,73
49,Female,31,33
21,Female,86,84
47,Female,84,77
54,Female,52,92
40,Female,59,29
56,Male,93,13
62,Female,62,46
32,Male,63,35
60,Male,48,6
46,Female,32,82
53,Male,31,69
30,Female,65,47
49,Male,21,25
24,Female,54,66
68,Male,27,10
39,Female,45,56
45,Female,93,30
19,Female,53,5
59,Female,26,33
62,Female,87,65
23,Male,77,18
45,Male,94,96
45,Male,48,49
61,Female,55,11
61,Male,40,85
37,Female,55,26
47,Female,29,63
28,Male,92,89
45,Male,43,86
42,Female,83,59
56,Male,68,27
50,Female,55,49
18,Female,43,77
44,Female,42,33
69,Female,81,98
30,Female,56,99
58,Male,31,1
20,Male,74,21
56,Female,32,55
